category,year level,question,choice_a,choice_b,choice_c,choice_d,correct_answer,is_active,difficulty_level
Math,Senior (Grade 11-12),"Relative aperture or f-number is an important concept in photography. It is the ratio of the len's diameter. Given that the focal length is 50 mm, express the relative aperture, f, as a function of len's diameter, d.",f = 50 + d,f = 50d,f = 50/d,f = d/50,f = 50/d,1,Average
Math,Senior (Grade 11-12),"Express the average speed of the truck if it will travel 1,780 kilometers as a function of time, t, in hours.","S(t) = 1,780 + t","S(t) = t/1,780","S(t) = 1,780t","S(t) = 1,780/t","S(t) = 1,780/t",1,Average
Math,Senior (Grade 11-12),"The amount of strong acid flowing into a mixer can be expressed as a function of time, t, A(t) = 3t. Water is also flowing inside the mixer, and its amount can be expressed as a function of time, t, W(t) = 8t + 6. What is the concentration of the acid inside the mixer at any given time t?",C(t) = 3t/(8t + 6),C(t) = 5t + 6,C(t) = (8t + 6)/3t,C(t) = 11t + 6,C(t) = 3t/(8t + 6),1,Difficult
Math,Senior (Grade 11-12),"The amount of dug entering a certain part of the body is given by the function d(t) = 6t. However, the amount of blood that passes through that same part is given by the function b(t) = 16t^2 + 5. Given that t is the time after the drug is administered, express the concentration of the drug in that part of the body as a function of t.",C(t) = (16t2 + 5)/6t,C(t) = (16t^2 + 5)/t,C(t) = 6t,C(t) = 6t/(16t^2 + 5),C(t) = 6t/(16t^2 + 5),1,Difficult
Math,Senior (Grade 11-12),"Ohm's law states that current passing through a conductor is directly propotional to voltage, and inversely proportional to the resistance of the conductor. What is the amount of the current, I, that passes through a conductor with resistance, R, applying 5 volts?",I = R/5,I = 5R,I = 5/R,I = 1/5R,I = 5/R,1,Difficult
Math,Senior (Grade 11-12),"The power consumed by an electric appliance is computed as the square of the voltage across the appliance divided by the resistance of the appliance. What is the function of the power, P, consumed by an appliance with a resistance R, connected to a 220 volt supply?",P = 220/R2,"P = 48,400/R",P = 220/R,"P = R/48,400","P = 48,400/R",1,Average
Math,Senior (Grade 11-12),"The number of garments produced in a garment factory is a function of time, t, in hours, and is modelled to be 4t^2 + 5t. At the same time, the number of defective garments is 2t + 1. What is the percentage of defective garments at any time t?",R(t) = 1/(4t^2 + 5t),R(t) = (2t + 1)/(4t^2 + 5t),R(t) = t/(2t + 1),R(t) = (4t^2 +  5t)/(2t + 1),R(t) = (2t + 1)/(4t^2 + 5t),1,Average
Math,Senior (Grade 11-12),Which of the following is a rational equation?,R > P/Q,R = P/Q,R(x) = P(x)/Q(x),P/Q,R = P/Q,1,Average
Math,Senior (Grade 11-12),Which of the following is a rational inequality?,P/Q,R = P/Q,R > P/Q,R(x) = P(x)/Q(x),R > P/Q,1,Average
Math,Senior (Grade 11-12),Which of the following is a rational function?,R(x) = P(x)/Q(x),R = P/Q,P/Q,R > P/Q,R(x) = P(x)/Q(x),1,Average
Math,Senior (Grade 11-12),Which of the following is a rational function?,500x = 125x^2 - 250,R(x) = (125x^2 - 250)/500x,(4δ/δ+7) ≤ 8,2/3x,R(x) = (125x^2 - 250)/500x,1,Average
Math,Senior (Grade 11-12),Which of the following is a rational equation?,2/x - 3/2x > 1/(3x+1),(25x-5x^2)/(500x-15) = 156,2/x - 3/2x + 1/3x,h(x) = (x3-x2+x+1)/(x-1)^3,(25x-5x^2)/(500x-15) = 156,1,Average
Math,Senior (Grade 11-12),Which of the following is rational inequality?,t/(t-1) - t^2/(t-2) + t^3/t-3,2/t - t/(t^2+5) > 1/t/(1-t),t = 13t^2/(56t - t4),Q(t) = t/(t^2-3),2/t - t/(t^2+5) > 1/t/(1-t),1,Average
Math,Senior (Grade 11-12),Solve 2/x + 3/4x = -1/8,{x|x = 11},{x|x = -11},{x|x = -22},{x|x = 22},{x|x = -22},1,Difficult
Math,Senior (Grade 11-12),Solve (x-3)/(2x+1) + x/(x+3) = (3x^2 + x - 9)/(2x^2 + 7x + 3),"{x|x = -3, -1/2}",{x|x Ф R},"{x|x ϵ R\{-3, -1/2}}",{x|x ϵ R},"{x|x ϵ R\{-3, -1/2}}",1,Difficult
Math,Senior (Grade 11-12),Solve 2/(x-2) + 3/(x+3) = 5x/(x^2 + x - 6),"{x|x = -3, 2}","x ϵ R\{3, -2}","{x|x = 3,-2}","x ϵ R\{-3,2}","x ϵ R\{-3,2}",1,Difficult
Math,Senior (Grade 11-12),Solve (x+3)/4 = 7/x,"{x|x = -7, -4}","{x|x = 7, -4}","{x|x = 7, 4}","{x|x = -7, 4}","{x|x = -7, 4}",1,Difficult
Math,Senior (Grade 11-12),Solve 10/x = 40/(x - 30),{x|x = -20},{x|x = -30},{x|x = -40},{x|x = -10},{x|x = -10},1,Difficult
Math,Senior (Grade 11-12),Solve 5/3 = 3x/(2x - 9),{x|x = 45},{x|x = 5},{x|x = 9},{x|x = 3},{x|x = 45},1,Difficult
Math,Senior (Grade 11-12),Solve 1/(x + 3)= 1/(x-3),{x|x = 3},{x|x = Ф},"{x|x = -3,3}",{x|x = -3},{x|x = Ф},1,Difficult
Math,Senior (Grade 11-12),Solve 2x/9 = 8/x,{x|x = 72},"{x|x = -9,8}","{x|x = -36,36}","{x|x = -6,6}","{x|x = -6,6}",1,Difficult
Math,Senior (Grade 11-12),Solve 2/(x^2 -16 )+5 /(x-4) = 3/(x+4).,{x|x = -17},{x|x = 5},{x|x = 9},{x|x = 3},{x|x = -17},1,Difficult
Math,Senior (Grade 11-12),Solve 9/(x^3 - 1) + 1/(x^2 + x + 1) = 2/(x-1),"{x|x = -2, 3/2}","{x|x = -3, 2/3}","{x|x = -2/3,3}","{x|x = -3/2, 2}","{x|x = -2, 3/2}",1,Difficult
Math,Senior (Grade 11-12),Solve (t+2)/(t+3) ≥ 0. Choose the correct solution set.,{t: (t < -3) U (t ≥ -2)},{t: -3 < t ≤ -2},{t: -3 ≤ t ≤ -2},{t: (t ≤ -3) U (t ≥ -2)},{t: (t < -3) U (t ≥ -2)},1,Difficult
Math,Senior (Grade 11-12),Solve 5x/x - 5 < 4. Choose the correct solution set.,{x| -20 > x > 5},{x| -20 < x < -5},{x| -5 < x < 20},{x| -20 < x < 5},{x| -20 < x < 5},1,Difficult
Math,Senior (Grade 11-12),Solve (5x-9)/(2x - 3) > 3. Choose the correct solution set.,{x|(x < 0) U (x > 3/2)},{x|-3/2 < x < 0},{x|0 < x < 3/2},{x|x < -3/2 U x > 0},{x|(x < 0) U (x > 3/2)},1,Difficult
Math,Senior (Grade 11-12),What are the critical numbers of (x^2 + x - 6)/(x^2 + 4x - 12) > 0?," -2, 3, and 6"," -6, and -3"," -2, 3, and 12"," -6, -3, and 2"," -6, -3, and 2",1,Difficult
Math,Senior (Grade 11-12),Solve 3/(x + 3) < 2/(x - 4). Choose the correct solution set.,{x|x > 18) U (-3 < x < 4)},{x|(x < -3) U (4 < x < 18)},{x|x - 3 < x < 4},{x|(x < -3) U ( x > 4)},{x|(x < -3) U (4 < x < 18)},1,Difficult
Math,Senior (Grade 11-12),Solve (x - 7)/2x ≤ -3. Choose the correct solution set.,{x| 0 < x ≤ 1},{x|(x ≤ 0) U (x ≥ 1)},{x|(x < 0) U (x ≥ 1)},{x| 0 ≤ x ≤ 1},{x| 0 < x ≤ 1},1,Difficult
Math,Senior (Grade 11-12),Solve x/(2x - 3) + x/(x - 6). Choose the correct solution set.,{x: (0 < x < 3/2)},{x: (0 < x < 6) U (x ≠ 6)},{x: (3/2 < x < 6)},{x: (0 < x < 3/2) U (3 < x < 6)},{x: (0 < x < 3/2) U (3 < x < 6)},1,Difficult
Math,Senior (Grade 11-12),Which of the following is the equivalent inequality of m - 2 ≤ 5/(2m - 1)?,{m|(-1/2 < m ≤ 3)},{m|(m < -1/2) U (1/2 < m ≤ 3)},{m|(m < -1/2) U (m ≤ 3)},{m|(m < -1/2 < m < 1/2) U (m ≤ 3)},{m|(m < -1/2) U (1/2 < m ≤ 3)},1,Difficult
Math,Senior (Grade 11-12),Which of the following is the equivalent inequality of x/(x - 5) < -(3/(x - 1))?,{x|(x > -5) U (1 > x > 5)},{x|(-5 < x < 1) U (3 < x < 5)},{x|(x < -5) U (1 < x < 5) U (x > 5)},{x|(-5 > x > 1) U (3 > x > 5)},{x|(-5 < x < 1) U (3 < x < 5)},1,Difficult
Math,Senior (Grade 11-12),Solve the inequality 2/(x - 6) ≥ -x/(x - 16). Choose the correct solution set.,{x|(-4 ≤ x < 6) U (8 ≤ x < 16)},{x|(-4 ≤ x < 6) U (6 < x ≤ 8) U (x > 16)},{x|(x ≤ -4) U (6 < x ≤ 8) U (x > 16)},{x|(x ≤ -4) U (x > 6) U (x ≠ 16)},{x|(x ≤ -4) U (6 < x ≤ 8) U (x > 16)},1,Difficult
Math,Senior (Grade 11-12),Which of the following is the equation of f(x) = (x^3 - 9)/(x + 4)?,y = (x3 - 9)/(x + 4),y = (x^3 + 9)/(x + 4),y = (x + 4)/(x^3 - 9),y = (x^3 + 9)/(x - 4),y = (x^3 - 9)/(x + 4),1,Average
Math,Senior (Grade 11-12),Which of the following is the equation of f(x) = (x^2 - 5x + 6)/(x^2 + 7x + 12)?,y = (x2 - 5x + 6)/(x^2 - 7x + 12),y = (x^2 - 5x + 6)/(x^2 + 7x + 12),y = (x^2 + 5x - 6)/(x^2 + 7x + 12),y = (x^2 - 5x + 6)/(x^2 + 7x - 12),y = (x^2 - 5x + 6)/(x^2 + 7x + 12),1,Average
Math,Senior (Grade 11-12),Which of the following is the equation of f(x) = (5x - 6)/(4x^2 + 3x - 2)?,y = (-5x + 6)/(4x^2 + 3x - 2),y = (5x - 6)/(4x^2 - 3x + 2),y = (5x - 6)/(4x^2 + 3x - 2),y = (5x + 6)/(4x^2 + 3x - 2),y = (5x - 6)/(4x^2 + 3x - 2),1,Average
Math,Senior (Grade 11-12),Find the domain and range of the function f(x) = 5x/(x - 5),"D: (-∞, 5) U (5, ∞); R: (-∞, 5) U (5, ∞)","D: (-∞, -5) U (-5, ∞); R: (-∞, 5) U (5, ∞)","D: (-∞, 5) U (5, ∞); R: (-∞, 10) U (10, ∞)","D: (-∞, 5) U (5, ∞); R: (-∞, 1/5) U (1/5, ∞)","D: (-∞, 5) U (5, ∞); R: (-∞, 5) U (5, ∞)",1,Average
Math,Senior (Grade 11-12),Which of the following is the domain of f(x) = 5x/(2x - 8)?,D: {x ϵ R|x ≠ -8},D: {x ϵ R|x ≠ -4},D: {x ϵ R|x ≠ 4},D: {x ϵ R|x ≠ 8},D: {x ϵ R|x ≠ 4},1,Average
Math,Senior (Grade 11-12),Which of the following is the range of f(x) = 6x/(5 - 2x)?,{y ϵ R|y ≠ -3},{y ϵ R|y ≠ -6},{y ϵ R|y ≠ 3},{y ϵ R|y ≠ 6},{y ϵ R|y ≠ -3},1,Average
Math,Senior (Grade 11-12),Find the range of the function f(x) = 8/(x^2 - 4),"R: (-∞, -2) U (-2, ∞)","R: (-∞, 0) U (0, ∞)","R: (-∞, 2) U (0, ∞)","R: (-∞, 2) U (2, ∞)","R: (-∞, 2) U (0, ∞)",1,Average
Math,Senior (Grade 11-12),Find the range of the function f(x) = (x^2 + x - 6)/(x + 3),All real numbers except 2,All real numbers except -5,All real numbers except -3,All real numbers,All real numbers except -5,1,Average
Math,Senior (Grade 11-12),Find the range of the function f(x) = (x^2 + 5x + 4)/(x + 5),"y =  (-∞, 1] U [9, ∞)","y =  (-∞, -9] U [-1, ∞)","y =  (-∞, -1] U [9, ∞)","y =  (-∞, -9] U [1, ∞)","y =  (-∞, -9] U [-1, ∞)",1,Average
Math,Senior (Grade 11-12),Find the domain of the function f(x) = (x^2 + 25x + 74)/(x^2 + 23x -20),"x ϵ R|x ≠ {-5/7, 4}","x ϵ R|x ≠ {-4, 5/7}","x ϵ R|x ≠ {-7/5, 4}","x ϵ R|x ≠ {-4, 7/5}","x ϵ R|x ≠ {-4, 5/7}",1,Average
Math,Senior (Grade 11-12),Find the domain of the function f(x) = (x - 4)/(x -11),x ϵ R|x ≠ {11},x ϵ R|x ≠ {4},x ϵ R|x ≠ {-4},x ϵ R|x ≠ {-11},x ϵ R|x ≠ {11},1,Average
Math,Senior (Grade 11-12),Find the domain of the function f(x) = (x^2 - 1)/(x + 1),All real numbers,x ϵ R|x ≠ {-1},x ϵ R|x ≠ {0},x ϵ R|x ≠ {1},x ϵ R|x ≠ {-1},1,Average
Math,Senior (Grade 11-12),Find the domain of the function f(x) = x^2/(x3 + 8),x ϵ R|x ≠ {-4},x ϵ R|x ≠ {-2},x ϵ R|x ≠ {-8},x ϵ R|x ≠ {-6},x ϵ R|x ≠ {-2},1,Average
Math,Senior (Grade 11-12),Find the x and y intercepts of f(x) = -2/(x + 2)^2,"x-intercept: (-1/2, 0); y-intercept: none",x-intercept: none; y-intercept: none,"x-intercept: (0, -1/2); y-intercept: none","x-intercept: none; y-intercept: (0, -1/2)","x-intercept: none; y-intercept: (0, -1/2)",1,Difficult
Math,Senior (Grade 11-12),Find the x and y intercepts of f(x) = (3x^2 - 12)/x,x-intercept: none; y-intercept: none,"x-intercept: (-2, 0) & (2, 0); y-intercept: none","x-intercept: (-2, 0) & (2, 0); y-intercept: (0, 0)","x-intercept: none; y-intercept: (-2, 0) & (2, 0)","x-intercept: (-2, 0) & (2, 0); y-intercept: none",1,Difficult
Math,Senior (Grade 11-12),Find the x and y intercepts of f(x) = (x + 6)/9x - 3).,"x-intercept: (6, 0); y-intercept: (0, 2)","x-intercept: (2, 0); y-intercept: (0, 6)","x-intercept: (-2, 0); y-intercept: (0, -6)","x-intercept: (-6, 0); y-intercept: (0, -2)","x-intercept: (-6, 0); y-intercept: (0, -2)",1,Difficult
Math,Senior (Grade 11-12),Find the zero/s of f(x) = (x - 4)/(x^2 - 8).,-4,8,4,-8,4,1,Difficult
Math,Senior (Grade 11-12),Find the zero/s of f(x) = (3x^2 +  10x - 8)/(x^2 + 8x + 15)., -2/3 and 4, -4 and -2/3,4 and 2/3, -4 and 2/3, -4 and 2/3,1,Difficult
Math,Senior (Grade 11-12),Find the zero/s of f(x) = 5x/(x^3 - 27).,1/5,none,0,5,0,1,Difficult
Math,Senior (Grade 11-12),Determine the vertical asymptote of f(x) = (x^2 - 4)/(x^2 - 16).,x = 16,x = 8 and x = -8,x = -16,x = 4 and x = -4,x = 4 and x = -4,1,Difficult
Math,Senior (Grade 11-12),Determine the horizontal asymptote of f(x) = 100/(x^4 - 100).,y-axis,x-axis,x = 0,none,x-axis,1,Difficult
Math,Senior (Grade 11-12),Determine the horizontal asymptote of f(x) = (3x^2 - 2x + 1)/(x^2 + 4x + 5).,none,x-axis,y = -3,y = 3,y = 3,1,Difficult
Math,Senior (Grade 11-12),Determine the oblique asymptote of f(x) = (x^2 + 1)/(x + 1).,y = x2 + 1,y = x + 1,none,y = x - 1,y = x - 1,1,Difficult
Math,Senior (Grade 11-12),"Zeus and Romar, when working together, can finish repairing the computer in 6 hours. Working alone, Zeus will take thrice as long as Romar to finish repairing the computer. How long will Romar and Zeus each take to finish the job alone?",9 and 27,7 and 21,6 and 18,8 and 24,9 and 27,1,Difficult
Math,Senior (Grade 11-12),"The number of bulbs produced in a bulb factory is a function of time, t, in hours, and is modelled to be 3t^2 + 2t. At the same time, the number of defective bulb is 2t + 1. What is the percentage of defective bulbs after 3 hours?",0.2323,0.2121,0.2556,0.1818,0.2121,1,Difficult
Math,Senior (Grade 11-12),The ratio of female chicks in a poultry farm is the function f(x) = (x + 3)/(3x + 2) where x is the number of days after day zero. On what days will the ratio of females be less than 50%?,Day 4,Day 5,Day 8,Day 10,Day 4,1,Difficult
Math,Senior (Grade 11-12),"Alex can finish a certain job in 12 minutes. Millen and Josie can do the same job in 15 and 20 minutes, respectively. If they work together, how long will it take them to fish the job?",6 minutes,4 minutes,3 minutes,5 minutes,5 minutes,1,Difficult
Math,Senior (Grade 11-12),"A furniture company spent PHP 180,000 to design and develop its new couch model. The cost of manufacturing each chair is PHP 15,000. What is the average cost of 50 couches?","PHP 20,400","PHP 18,600","PHP 22,800","PHP 16,800","PHP 18,600",1,Difficult
Math,Senior (Grade 11-12),The concentration of a drug in the bloodstream is monitored as it is injected into a patient. The drug's concentration in mg/L after t hours is modeled by C(t) = 3t/(t^2 + 4),3/4,4/5,5/6,6/7,3/4,1,Difficult
Math,Senior (Grade 11-12),"When a new gadget is first introduced, the weekly sales generally increases rapidly for a period of time, and then begin to decrease. Suppose that the weekly sales S (in hundred units), t weeks after the gadget is introduced, is given by S(t) = 200t/(t^2 + 100). When will sales be 8 hundred units per week or more?",from 10th to 20th week?,from 5th to 15th week?,from 10th to 15th week?,from 5th to 20th week?,from 5th to 20th week?,1,Difficult
Math,Senior (Grade 11-12),Air freshener is sprayed in a room. The concentration in parts per million of the air freshener in the adjacent room t seconds after the spray is given approximately by C(t) = 0.12t/(t^2 + 2). When will the concentration of the air freshener molecules in the adjacent room be 0.04 parts per million or greater?,"[3,4] seconds","[2,3] seconds","[4,5] seconds","[1,2] seconds","[1,2] seconds",1,Difficult
Math,Senior (Grade 11-12),"A water supply pipe can fill a pool in 2 hours while the drain pipe will empty the same pool in 3 hours. If the water supply pipe is turned on and the drain pipe is left open, how long will it take to fill the pool?",Four hours,Five hours,Six hours,Seven hours,Six hours,1,Difficult
Math,Senior (Grade 11-12),"The amount of strong acid flowing into a mixer can be expressed as a function of time, t in hours, 4t. Water is also flowing inside the mixer, and its amount can be expressed as a function of time, t in hours, 5t + 9. At what time will the amount of acid is half of the amount of water?",3rd hour,1st hour,It won't happened,2nd hour,3rd hour,1,Difficult
Math,Senior (Grade 11-12),A one-to-one function is a type of function wherein there is exactly one output for every one input.,False. One-to-two,False. Function where there is two or more output.,False. Function where there is one output for two or more output.,TRUE,TRUE,1,Average
Math,Senior (Grade 11-12),Identify if the function f(x) = x^2 + 2,One-to-One,NOT One-to-One,One-to-two,Two-to-one,NOT One-to-One,1,Average
Math,Senior (Grade 11-12),Identify if the function f(x) = x^3 - 1,One-to-two,NOT One-to-One,One-to-One,Two-to-one,One-to-One,1,Average
Math,Senior (Grade 11-12),"Identify if the following ordered pairs is one-to-one function or not. {(0,1), (5,4), (11,6), (-4,1), (2,4)}",One-to-two,NOT One-to-One,Two-to-one,One-to-One,NOT One-to-One,1,Average
Math,Senior (Grade 11-12),"In the Philippines, an employee pays 33% tax deducted from salary. During the mid-year and end-of-year, companies distribute bonuses which are tax-free if not greater than 80,000 pesos. Express the take home pay of an employee after receiving a 50,00 pesos. Use x to represent the employee's salary.","f(x) = 33x + 50,000","f(x) = 0.67x + 50,000","f(x) = 0.33x + 50,000","f(x) = 0.67(x + 50,000)","f(x) = 0.67x + 50,000",1,Average
Math,Senior (Grade 11-12),"De Velez Manufacturing Corp. makes and sells wooden study tables. It costs 800 pesos to make one wooden table. The total overhead cost is 500 pesos per week and the selling price is 1,000 pesos. Express the weekly profit of the company as a function of the number of tables sold per week.",f(x) = 200x + 500,f(x) = 500x + 200,f(x) = 1800x + 500,f(x) = 200x - 500,f(x) = 200x - 500,1,Average
Math,Senior (Grade 11-12),"During a long weekend, Peter travelled north for a vacation. In going home, he rode a train for 2 hours and then a bus for 4 hours. Given that the train travelled 15 kilometers pe hour slower than the bus, express the total distance travelled by Peter as a function of the speed of the bus.",f(x) = 6x + 60,f(x) = 4x - 30,f(x) = 4x + 30,f(x) = 6x - 30,f(x) = 6x - 30,1,Average
Math,Senior (Grade 11-12),"In a basketball tournament, Randy scored 15 points in each of the first three games. In the remaining games, he scored a total of 60 points. Express his average score in all of the games. Let x be the total number of games Randy played.",f(x) = 75/(x + 3),f(x) = 105/(x + 3),f(x) = 105/x,f(x) = 75/x,f(x) = 105/(x + 3),1,Average
