category,year level,question,choice_a,choice_b,choice_c,choice_d,correct_answer,is_active,difficulty_level
Science,Senior (Grade 11-12),"Which of the following refers to estimated number of lives lost, injured, damaged property and disrupted socio-economic activities?",Risk,Hazard,Exposure,Vulnerability,Risk,1,Average
Science,Senior (Grade 11-12),Which of the following refers to the quantified measure of exposure of the elements at risk to disasters?,Vulnerability,Risk,Exposure,Hazard,Exposure,1,Average
Science,Senior (Grade 11-12),Which of the following refers to the different factors in a community that can increase the chance of hazards to cause disruption and damages?,Hazard,Vulnerability,Exposure,Risk,Vulnerability,1,Average
Science,Senior (Grade 11-12),"Which of the following vulnerability factors includes the capabilities of people, in an exposed community, to purchase goods and services?",Physical Factor,Social Factor,Environmental Factor,Economic Factor,Economic Factor,1,Average
Science,Senior (Grade 11-12),Creating human settlements near a steep hillside increases ________ which in turn heightens the community's susceptibility to landslide.,Vulnerability and Risk,Risk and Hazard,Exposure and Vulnerability,Hazard and Exposure,Exposure and Vulnerability,1,Average
Science,Senior (Grade 11-12),What are the occurrences or events which are potentially dangerous to life and can create damage to property?,Disaster,Natural Phenomena,Hazards,Risk,Hazards,1,Average
Science,Senior (Grade 11-12),What are the naturally occurring physical phenomena caused by rapid or slow onset events?,Natural Hazards,Human Induced Hazards,Human Violence,Industrial Accidents,Natural Hazards,1,Average
Science,Senior (Grade 11-12),Which of the following is not a common hydro-meteorological hazards?,chemicals,heavy rains,storm surge,strong winds,chemicals,1,Average
Science,Senior (Grade 11-12),What type of hazard are events that are caused by humans and occur in or close to human settlements?,Human Induced Hazards,Industrial Accidents,Human Violence,Natural Hazards,Human Induced Hazards,1,Average
Science,Senior (Grade 11-12),Which of the following is/are effect/s of hazards?,loss of life,damage to property,social and economic disruption,All of the above.,All of the above.,1,Average
Science,Senior (Grade 11-12),Which of the following is a hazard classification under natural hazards?,Geological Hazards,Technological Hazards,Environmental Hazards,"Socio-Economic, Political and Security Hazards",Geological Hazards,1,Average
Science,Senior (Grade 11-12),Which of the following is a hydro-meteorological hazard?,Drought,Space Object Impact,Rainfall-Induced Landslides,Ground Subsidence,Drought,1,Average
Science,Senior (Grade 11-12),A vehicular related accident is an example of what kind of hazard? Select the correct answer.,"Socio-Economic, Political and Security Hazard",Natural Hazard,Environmental Hazard,Technological Hazard,Technological Hazard,1,Average
Science,Senior (Grade 11-12),Which of the following is not an example of a human induced hazard?,Oil Spill,Flood,Fire,Civil Disorder,Flood,1,Average
Science,Senior (Grade 11-12),An oil spill is an example of what kind of hazard?,Technological Hazard,Hydro-Meteorological Hazard,Geological Hazard,Environmental Hazard,Environmental Hazard,1,Average
Science,Senior (Grade 11-12),Which among the following is not a potential earthquake hazard?,Ground Shaking,Ground Rupture,Tsunami,Lava Flow,Lava Flow,1,Average
Science,Senior (Grade 11-12),________ is when the sand or soil and groundwater mixed during the shaking of moderate to strong earthquake.,Rupture,Liquefaction,Liquification,Subsidence,Liquefaction,1,Average
Science,Senior (Grade 11-12),A tsunami is an earthquake hazard which is a series of giant sea waves. What magnitude of earthquake can generate a tsunami?,greater than 7.0,greater than 9.0,greater than 8.0,greater than 6.0,greater than 7.0,1,Average
Science,Senior (Grade 11-12),"This hazard is defined as the movement of the rock, debris or earth down a slope.",Shaking,Liquefaction,Landslide,Subsidence,Landslide,1,Average
Science,Senior (Grade 11-12),This hazard is caused by faulting during an earthquake which releases the energy that had been built up by the application of stress to the lithosphere.,Ground Shaking,Ground Subsidence,Tsunami,Ground Rupture,Ground Shaking,1,Average
Science,Senior (Grade 11-12),"During ground rupture, structures built across a fault acquire ________ damage compared to the structures built adjacent to the fault.",less,zero,greater,equal,greater,1,Average
Science,Senior (Grade 11-12),A void was created in your area during an earthquake. This void stocked water causing a permanent flood. This is an effect of ________.,liquefaction,tsunami,fire,ground subsidence,ground subsidence,1,Average
Science,Senior (Grade 11-12),The following may cause flood EXCEPT:,Ground subsidence,Broken dams,Tsunami,Ground Rupture,Ground Rupture,1,Average
Science,Senior (Grade 11-12),Which of the following could be the effect of liquefaction?,Underground pipes and tanks rise up to the surface.,Structures built acrosss a fault either collapse or rip apart.,The void created stores water causing a permanent flood in the area.,It causes tsunami.,Underground pipes and tanks rise up to the surface.,1,Average
Science,Senior (Grade 11-12),Which of the following could be a reason to fire hazards during an earthquake?,"Earthquakes can break electrical posts, power lines, and gas lines where a fire starts.","Earthquakrs can break dams, reservoirs and ripraps where fire starts.",Earthquakes can roads where a fire starts.,All of the above.,"Earthquakes can break electrical posts, power lines, and gas lines where a fire starts.",1,Average
Science,Senior (Grade 11-12),Which volcano-related hazard is caused by an eruption near a watershed or in a crater lake?,Lava Flow,Tephra Fall,Hot Lahar,Pyroclastic Flow,Hot Lahar,1,Average
Science,Senior (Grade 11-12),What do we call a shower of fragmented volcanic materials released during the eruption?,Tephra Fall,Pyroclastic Surge,Debris Avalanches,Lahar,Tephra Fall,1,Average
Science,Senior (Grade 11-12),Which of the following is not a primary volcanic hazard?,Lava Flow,Debris Avalanches,Volcanic Gas,Pyroclastic Surge,Debris Avalanches,1,Average
Science,Senior (Grade 11-12),What type of volcano-related hazard is indirectly associated to a volcanic activity?,Secondary Volcanic Hazards,Pyroclastic Density Current,Primary Volcanic Hazards,Tephra Fall,Secondary Volcanic Hazards,1,Average
Science,Senior (Grade 11-12),The collapsed of a land section due to the immense weight of volcanic debris may cause what volcano-related hazard? Select the correct answer.,Lahar,Lava Flow,Pyroclastic Surge,Debris Avalanche,Debris Avalanche,1,Average
Science,Senior (Grade 11-12),Which among the following factors does not determine the speed of lava flow?,Land Features (Topography),Viscosity,Density,Gas Content,Gas Content,1,Average
Science,Senior (Grade 11-12),An explosive type of volcanic eruption that causes the formation of eruption column is called ________.,Magma Intrusion,Plinian Eruption,Steam-blast Explosion,Effusive Eruption,Plinian Eruption,1,Average
Science,Senior (Grade 11-12),Which of the following volcano hazards can reach a temperature of 700 degree Celsius and can travel 100 km per hour? Select the correct answer.,Pyroclastic Density Current,Tephra Fall,Lava Flow,Debris Avalanche,Pyroclastic Density Current,1,Average
Science,Senior (Grade 11-12),Which of the following is considered the least dangerous among volcanic hazards?,Lava Flow,Tephra Fall,Pyroclastic Surge,Pyroclastic Flow,Lava Flow,1,Average
Science,Senior (Grade 11-12),Which of the following is not a characteristic of a pyroclastic surge?,High Velocity,Turbulent,High Density,"called as ""hot hurricane""",High Density,1,Average
Science,Senior (Grade 11-12),Which among the following volcanic hazards is more prone to happen during an eruption of a stratovolcano?,Debris Avalanche,Tephra Fall,Tsunami,Lahar,Debris Avalanche,1,Average
Science,Senior (Grade 11-12),"The tsunami that claimed the life of 36,000 people in 1883 was caused by what particular volcanic hazard?",Pyroclastic Surge,Lahar,Lava Flow,Pyroclastic Flow,Pyroclastic Flow,1,Average
Science,Senior (Grade 11-12),Which of the following volcano hazards can travel with a speed between 1.3 m/s to 40 m/s? Select the correct answer.,Tsunami,Debris Avalanche,Lava Flow,Lahar,Lahar,1,Average
Science,Senior (Grade 11-12),Which of the following volcano hazards can devastate populated coastal areas? Select the correct answer.,Tephra Fall,Tsunami,Lahar,Debris Avalanche,Tsunami,1,Average
Science,Senior (Grade 11-12),Which of the following volcano hazards can be used by an explosion due to the mixture of heat and water? Select the correct answer.,Lahar,Debris Avalanche,Magma Flow,Pyroclastic Flow,Debris Avalanche,1,Average
Science,Senior (Grade 11-12),Select the correct answer. The swelling of ground due to magma instrusion is called ________.,Debris Flow,Landslide,Ground Inflation,Ground tilting,Ground Inflation,1,Average
Science,Senior (Grade 11-12),A fumarole that releases significant amount of sulfur is called ________.,Vent,Solfatara,Hot Spring,Steam,Solfatara,1,Average
Science,Senior (Grade 11-12),"What causes the change in color of steam, from white to gray? Select the corrent answer.",magma rising,Sulfur,Ashes,Volcanic Debris,Ashes,1,Average
Science,Senior (Grade 11-12),Which of the following is not a sign of an impending volcanic eruption? Select the correct answer.,glowing crater,Debris Avalanche,Drying up of wells and hot spring.,Increase of steam emission.,Debris Avalanche,1,Average
Science,Senior (Grade 11-12),Frequent volcanic tremor indicate what phenomenon?,Magma Movement,Sulfur Release,Earthquake,Lava Flow,Magma Movement,1,Average
Science,Senior (Grade 11-12),Which of the following type of volcano hazard map is usually based on historic accounts and previous eruption records? Select the correct answer.,Volcano Multi-Hazard Map,Lahar Hazard Map,Lava Flow Hazard Map,Ashfall Hazard Map,Ashfall Hazard Map,1,Average
Science,Senior (Grade 11-12),The area around the volcano's summit that is permanently considered by the authorities as a dangerous area due to the possibility of sudden volcanic activities is called ________? Select the correct answer.,Vulnerable Areas,Areas Prone to Lava Flow,Pyroclastic Flow Buffer,Permanent Danger Zone,Permanent Danger Zone,1,Average
Science,Senior (Grade 11-12),Fill in the blank. Creating an evacuation plan is a measure that should be done ________ a volcanic eruption. Select the correct answer.,during,a week after,after,before,before,1,Average
Science,Senior (Grade 11-12),People should only drive a car or a truck at a maximum speed of 60 kph ________ a volcanic eruption. Select the correct answer.,before,during,after,All of the choices.,during,1,Average
Science,Senior (Grade 11-12),Which of the following is not a proper attire or device to wear during a volcanic eruption? Select the correct answer.,Contact lenses,Long-sleeved shirt,Goggles,Long pants,Contact lenses,1,Average
Science,Senior (Grade 11-12),"Clearing canals, pathways, and roofs are activities that should be done _______ a volcanic eruption. Select the correct answer.",during,a week after,after,before,after,1,Average
Science,Senior (Grade 11-12),Which of the following could help people evaluate vulnerable areas and assess their risk during a volcanic eruption? Select the correct answer.,Basic survival kit,Volcano hazard map,Community warning system,Emergency plan,Volcano hazard map,1,Average
Science,Senior (Grade 11-12),Which of the following is not an artificial cause of landslide?,quarrying,deforestation,weathering,mining,weathering,1,Average
Science,Senior (Grade 11-12),Which of the following is not a natural cause of landslide?,ground water activity,earthquake,prolonged rainfall,building infrastructures,building infrastructures,1,Average
Science,Senior (Grade 11-12),The settling or subsiding of earth's surface below the natural ground surface level is called ________. Select the correct answer.,ground subsidence,landslide,flow,creep,ground subsidence,1,Average
Science,Senior (Grade 11-12),Which of the following is not a cause of ground subsidence?,mineral extraction,mining,abstraction,deforestation,deforestation,1,Average
Science,Senior (Grade 11-12),Which of the following is a natural cause of landslide? Select the correct answer.,Mining,Rainfall,Deforestation,Quarrying,Rainfall,1,Average
Science,Senior (Grade 11-12),________ refers to the balance relation between the two factors that affect slope stability. Select the correct answer.,earthquake,Slope Equilibrium,prolonged rainfall,Slope Angle,Slope Equilibrium,1,Average
Science,Senior (Grade 11-12),What process naturally contributes to slope oversteepening by breaking and removing soil and rock components from the slope's base? Select the correct answer.,Rainfall,Overloading,Weathering,Deforestation,Weathering,1,Average
Science,Senior (Grade 11-12),Leaking swimming pool built on a slope can ________. Select the correct answer.,oversteepen the slope,erode the soil,decrease slope load,increase ground moisture,increase ground moisture,1,Average
Science,Senior (Grade 11-12),Prolonged watering of lawns located on a slope is a bad habit because of what reason? Select the correct answer.,It can increase the chance of oversteepening of the slope.,It can make the slope less stable.,It can waste water.,It will make vegetation grow faster.,It can make the slope less stable.,1,Average
Science,Senior (Grade 11-12),Which of the following is the main mineral component of limestone? Select the correct answer.,CaCo3,Ca2CO3,H2CO3,CCo3,CaCo3,1,Average
Science,Senior (Grade 11-12),Which of the following is the most usual cause fo a sinkhole? Select the correct answer.,Mining,Carbonate dissolution and collapse,Groundwater abstraction,Oil extraction,Carbonate dissolution and collapse,1,Average
Science,Senior (Grade 11-12),A land mostly composed of ________ commonly experience ground subsidence due to the change of season. Select the correct answer.,Sand,Clay,Limestone,Coal,Clay,1,Average
Science,Senior (Grade 11-12),A geological map can show which of the following information? Select the correct answer.,All of the above.,Geological Age,Rock Types and Structures,Soil Types,All of the above.,1,Average
Science,Senior (Grade 11-12),Which of the following activities is advisable to do on a landscape known to have an unstable slope? Select the correct answer.,putting a land fill on top,planting deeply rooting trees,clear cut logging,building a house,planting deeply rooting trees,1,Average
Science,Senior (Grade 11-12),Which of the following can help in preventing the loss of lives and properties during a landslide disaster? Select the correct answer.,All of the above.,proper land-use management that considered the information given by geological maps and landslide susceptibility maps,training of personnel to properly response on a landslide disaster,recognizing the signs of slope instability in the community,All of the above.,1,Average
Science,Senior (Grade 11-12),The installation of artificial drainage system to help stabilize a slope is an example of ________. Select the correct answer.,Engineering Remedial Measures,Landslide Barrier,Biological Measures,Land-use Regulation,Engineering Remedial Measures,1,Average
Science,Senior (Grade 11-12),Which of the following activities does not help in the reduction of damages on properties caused by ground subsidence?,addition of more drainage system,road elevation,enforcement of building foundations,construction of deep-well pumps,construction of deep-well pumps,1,Average
Science,Senior (Grade 11-12),Which of the following is a nature of hydrometeorological hazard?,geophysical,oceanic,hydrological,atmospheric,geophysical,1,Average
Science,Senior (Grade 11-12),What is the general term to the large system of winds that circulates about a center of low atmospheric pressure?,cyclone,high pressure area,monsoon,intertropical convergence zone,cyclone,1,Average
Science,Senior (Grade 11-12),The following happen when trade winds converge in ITCZ EXCEPT ________. Select all possible answers.,thunderstorm,cyclone,rainfall,high pressure area,high pressure area,1,Average
Science,Senior (Grade 11-12),"Select True if the statement is true, otherwise select the correct word that would make the statement tue. A tropical (storm) is the generic term for any intense circulating weather system in a low pressure area over tropical seas and oceans.",TRUE,cyclone,typhoon,depression,cyclone,1,Average
Science,Senior (Grade 11-12),The following are components of a thunderstorm to be formed EXCEPT,rising unstable air,moisture,lightning,lifting mechanism,lightning,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT always present during thunderstorm?,rain shower,strong wind,lightning,thunder,strong wind,1,Average
Science,Senior (Grade 11-12),Which of the following is responsible in production of lightning?,thunder,electric field of the colliding water particles,rising warm air into the cloud,column of air pushing downward,electric field of the colliding water particles,1,Average
Science,Senior (Grade 11-12),Identify which among the given statements are true and/or false. 1) Lightning and thunder is totally stopped in dissipating stage. 2) Downdraft overcome updraft in mature stage.,Statement 1 is false; Statement 2 is true.,Both Statement 1 and 2 are false.,Both Statement 1 and 2 are true.,Statement 1 is true; Statement 2 is false.,Statement 1 is false; Statement 2 is true.,1,Average
Science,Senior (Grade 11-12),Which of the following is the primary cause of storm surge?,temperature,rain,pressure,wind,wind,1,Average
Science,Senior (Grade 11-12),Which of among the following will cause a storm surge?,severe thunderstorm,earthquake on sea floor,incoming super typhoon,eruption of underwater volcano,incoming super typhoon,1,Average
Science,Senior (Grade 11-12),Which of the following area/s is/are prone to storm surge?,coastal area with steep ocean floors,none of the above,beach with barriers such as corals and seawalls,beach with gentle slope,beach with gentle slope,1,Average
Science,Senior (Grade 11-12),Where do flash floods most likely to occur?,in the coastal areas,mountain area with steep slopes,communities near the bank of the river,urban town and cities,mountain area with steep slopes,1,Average
Science,Senior (Grade 11-12),Which of the following is caused by storm surge coinciding with high tide?,fluvial flood,urban flood,coastal flood,seasonal flood,coastal flood,1,Average
Science,Senior (Grade 11-12),The following are natural cause of flood except:,high coastal waters,mismanagement of dam control devices,tides,intense rainfall,mismanagement of dam control devices,1,Average
Science,Senior (Grade 11-12),Which of the following are possible causes of flash floods?,heavy rains of short duration,overflowing river,tsunami,storm surge,heavy rains of short duration,1,Average
Science,Senior (Grade 11-12),Where does El Niño/ Southern Oscillation happen?,Antarctic Ocean,West Philippine Sea,Indian Ocean,Pacific Ocean,Pacific Ocean,1,Average
Science,Senior (Grade 11-12),Which of the following is/are oceanic component/s of ENSO? Select all possible answers.,Southern Oscillation and La Nina,monsoon and El Nino,La Nina and monsoon,El Nino and La Nina,El Nino and La Nina,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT an indication of El Nino in the Philippines?,far tropical cyclone tracks,frequent thunderstorms,delayed rainy season,weak monsoon activity,frequent thunderstorms,1,Average
Science,Senior (Grade 11-12),Which of the following is associated with La Nina?,average oceanic conditions,dry spell,flooding,weak and lesser tropical cyclones,flooding,1,Average
Science,Senior (Grade 11-12),Identify which among the given statements are true and/or false. 1) El Nino events always follow La Nina events. 2) La Nina characterized  by above-than-normal air pressure.,Statement 1 is false; Statement 2 is true.,Both statements are false.,Both statements are true.,Statement 1 is true; Statement 2 is false.,Both statements are false.,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT necessary for a fire to ignite?,oxygen,smoke,heat,fuel,smoke,1,Average
Science,Senior (Grade 11-12),Which of the materials is more likely to fuel fire?,sand,carbon dioxide,saltwater,paraffin,paraffin,1,Average
Science,Senior (Grade 11-12),Why would a fire be suppressed if you cover it with a thick blanket?,Heat is dissipated because of the blanket.,The blanket is heavy to cover the oxygen.,You are removing fuel from the fire.,The blanket cut off the oxygen supply.,The blanket cut off the oxygen supply.,1,Average
Science,Senior (Grade 11-12),Which of the following is the number one cause of fire in 2010-2013?,unattended open flame,neglected cooking,faulty electrical wiring,arson,faulty electrical wiring,1,Average
Science,Senior (Grade 11-12),It is intentionally and deliberately setting fire to property with intent to cause damage.,arson,firing,fire setting,fireworks,arson,1,Average
Science,Senior (Grade 11-12),Which of the following is the correct reason why faulty electrical wiring cause fire?,The wire is overloaded.,The wire insulator keep the wire from heating.,The wire is oversized.,The electrical wire is flammable.,The wire is overloaded.,1,Average
Science,Senior (Grade 11-12),Which of the following is responsible for fire investigation and analysis?,Bureau of Fire Protection,Bureau of Fire Jurisdiction,Bureau of Fire Investigation,Bureau of Fire Prevention,Bureau of Fire Protection,1,Average
Science,Senior (Grade 11-12),It is the outright avoidance of the adverse impacts of hazards and related disasters.,Response,Mitigation,Prevention,Risk Assessment,Prevention,1,Average
Science,Senior (Grade 11-12),"Which of the following is predominantly focused on immediate and short-term needs and is sometimes called ""disaster relief""?",Response,Reconstruction,Rehabilitation,Risk Reduction,Response,1,Average
Science,Senior (Grade 11-12),"It is the systematic process of using different skills, policies and strategies in order to lessen the adverse impacts of hazards and the possibility of disaster.",Disaster Risk Management,Disaster Risk Reduction,Disaster Risk Framework,Disaster Coping Mechanism,Disaster Risk Management,1,Average
Science,Senior (Grade 11-12),It is lessening or limitation of the adverse impacts of hazards and related disasters.,Response,Preparedness,Mitigation,Prevention,Mitigation,1,Average
Science,Senior (Grade 11-12),It is the concept and practice of reducing disaster risks through systematic efforts to analyze and manage the causal factors of disasters.,Disaster Risk Reduction,Disaster Coping Mechanism,Disaster Risk Framework,Disaster Risk Management,Disaster Risk Reduction,1,Average
Science,Senior (Grade 11-12),Which of the following theories was proposed by Hannes Alfven?,Plasma Universe,Big Bang Theory,Creationism,Oscillating Universe,Plasma Universe,1,Average
Science,Senior (Grade 11-12),Who proposed Big Bang theory?,Fred Hoyle,Hannes Alfven,Galileo Galilei,George Lemaitre,George Lemaitre,1,Average
Science,Senior (Grade 11-12),What do you call the rapid expansion of the universe?,Inflation,Oscillation,Big Crunch,Big Bang,Inflation,1,Average
Science,Senior (Grade 11-12),Which of the following statements is/are true?,The theory of Plasma Universe is a cyclic model.,"In Creationism theory, George Lemaitre created the universe.","In Steady-State Theory, matter is continuously and spontaneously created.",There is only one theory about the origin of the universe.,"In Steady-State Theory, matter is continuously and spontaneously created.",1,Average
Science,Senior (Grade 11-12),Which of the following statements is/are true?,"According to the theory of Oscillating Universe, the universe just stopped expanding.","According to the theory of a Plasma Universe, 90% is made up of water.",The contraction of the universe is called inflation.,There is uniformity in space according to the theory of a Steady-State Universe.,There is uniformity in space according to the theory of a Steady-State Universe.,1,Average
Science,Senior (Grade 11-12),Which of the following is not a type of life forms in Earth?,archaea,plants,asteroids,bacteria,asteroids,1,Average
Science,Senior (Grade 11-12),It protects the planet against the solar winds of the sun.,magnetic field,water,moon,ozone layer,magnetic field,1,Average
Science,Senior (Grade 11-12),It protects the planet against the ultraviolet radiation emitted by the sun.,ozone layer,magnetic field,rayshield,water,ozone layer,1,Average
Science,Senior (Grade 11-12),Which of the following compounds or chemicals is the least important to life?,mercury,carbon dioxide,water,oxygen,mercury,1,Average
Science,Senior (Grade 11-12),Which of the following is not caused by geological process caused by Earth's plate tectonics that are very unique in Earth?,tsunami,earthquake,typhoon,volcanic eruption,typhoon,1,Average
Science,Senior (Grade 11-12),Which of the following is true about the position of planets relative to the sun?,"The nearer the planet to sun, the hotter it is.","The nearer the planet to the sun, the colder it is.",Planets that are too far from the sun have conditions conducive for life.,Planets that are too near from the sun have conditions conducive for life.,"The nearer the planet to sun, the hotter it is.",1,Average
Science,Senior (Grade 11-12),Which of the following is not true about water on Earth?,Water is very minimal in Earth's surface.,Water is unique to Earth in the solar system.,Water is very important in the existence of live.,Water flows in a natural cycle.,Water is very minimal in Earth's surface.,1,Average
Science,Senior (Grade 11-12),Which of the following is not true about the Earth's life form?,There are different types of organisms on Earth.,The presence of oxygen and carbon dioxide is not important in life's existence.,The Earth's atmosphere is very conducive to life's existence.,Earth is the only known planet where life form exists.,The presence of oxygen and carbon dioxide is not important in life's existence.,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT true about the Earth and the solar system?,The Earth is the only planet that has an oxygen-rich atmosphere.,The earth is the only planet where life form exist.,The Earth is not located in the habitable zone.,The Earth has a magnetic field and ozone layer that protects it.,The Earth is not located in the habitable zone.,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT true about plate tectonics?,Plate tectonics allow the creation of new land forms.,Plate tectonics allows the formation of early life forms.,Plate tectonics is not a unique characteristic of Earth.,Plate tectonics causes volcanic eruptions and earthquakes.,Plate tectonics is not a unique characteristic of Earth.,1,Average
Science,Senior (Grade 11-12),"1. The Earth has four subsystems and one of them is the geosphere. 2. Geosphere is the layer where geologic processes, like plate movements, occur.",Only the second statement is true.,Both statements are false.,Both statements are true.,Only the first statement is true.,Both statements are true.,1,Average
Science,Senior (Grade 11-12),1. Plate tectonics causes plate movements. 2. The largest land mass was Pangaea.,Only the first statement is true.,Only the second statement is true.,Both statements are true.,Both statements are false.,Only the first statement is true.,1,Average
Science,Senior (Grade 11-12),1. Laurasia and Gondwanaland were the supercontinents formed when the Pangaea drifted apart. 2. The Panthalassa ocean surrounded the supercontinents.,Both statements are false.,Only the first statement is true.,Both statements are true.,Only the second statement is true.,Only the first statement is true.,1,Average
Science,Senior (Grade 11-12),1. A peninsula is a land mass surrounded by water that is detached from the main land. 2. The highest land form is the hill.,Only the second statement is true.,Both statements are false.,Both statements are true.,Only the first statement is true.,Both statements are false.,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT a type of rock?,continental,igneous,sedimentary,metamorphic,continental,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT a major plate?,Russian,African,Antartic,Eurasian,Russian,1,Average
Science,Senior (Grade 11-12),It is the outermost layer of the Earth.,mantle,core,plate,crust,crust,1,Average
Science,Senior (Grade 11-12),It is a type of rock that is formed from the aggregation of sediments in a long period of time.,igneous,sedimentary,metamorphic,cement,sedimentary,1,Average
Science,Senior (Grade 11-12),It is a layer of the atmosphere located above 80 kilometers from the Earth's surface.,thermosphere,troposphere,mesosphere,stratosphere,thermosphere,1,Average
Science,Senior (Grade 11-12),It is a layer of the atmosphere where ozone layer can be found.,stratosphere,thermosphere,mesosphere,troposphere,stratosphere,1,Average
Science,Senior (Grade 11-12),It is a layer of the atmosphere where weather happens.,troposphere,stratosphere,mesosphere,thermosphere,troposphere,1,Average
Science,Senior (Grade 11-12),It is a layer of the atmosphere located just above the stratopause.,thermosphere,troposphere,mesosphere,stratosphere,mesosphere,1,Average
Science,Senior (Grade 11-12),Which of the following is a trace gas that comprises less than 1% of the Earth's atmosphere?,nitrogen,oxygen,carbon,water vapor,water vapor,1,Average
Science,Senior (Grade 11-12),It is a layer of gas that protects the Earth from the harmful UV radiation of the sun.,tropopause,ozone layer,magnetosphere,exosphere,ozone layer,1,Average
Science,Senior (Grade 11-12),It is a layer of gas that protects the Earth from the solar winds of the sun.,exosphere,tropopause,magnetosphere,ozone layer,magnetosphere,1,Average
Science,Senior (Grade 11-12),It is where groundwater is filtered and stored.,ocean,stream,glacier,aquifer,aquifer,1,Average
Science,Senior (Grade 11-12),Which of the following is not a body of water?,strait,gulf,peninsula,lake,peninsula,1,Average
Science,Senior (Grade 11-12),It accounts for the 97 percent of the total water in Earth.,freshwater,groundwater,water vapor,saltwater,saltwater,1,Average
Science,Senior (Grade 11-12),Which of the following weather or climatic condition do NOT involve the hydrosphere?,tsunami,precipitation,volcanic eruption,typhoon,volcanic eruption,1,Average
Science,Senior (Grade 11-12),It is the largest body of water.,sea,river,ocean,gulf,ocean,1,Average
Science,Senior (Grade 11-12),Which of the following is NOT a characteristic of water?,tasteless,highly soluble,colorless,odorless,highly soluble,1,Average
Science,Senior (Grade 11-12),Which of the following is not a characteristic of an aquifer?,it is naturally filtering the water,it is a body of water,it is located below the ground,it holds groundwater,it is a body of water,1,Average
Science,Senior (Grade 11-12),"They are unicellular, prokaryotic organisms that could live in extreme environments.",Archaea,bacteria,Prokarya,Eukarya,Archaea,1,Average
